CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1,Male,19,15000.0,39,Healthcare,1,4
2,Male,21,35000.0,81,Engineer,3,3
3,Female,20,86000.0,6,Engineer,1,1
4,Female,23,59000.0,77,Lawyer,0,2
5,Female,31,38000.0,40,Entertainment,2,6
6,Female,22,58000.0,76,Artist,0,2
7,Female,35,31000.0,6,Healthcare,1,3
8,Female,23,84000.0,94,Healthcare,1,3
9,Male,64,97000.0,3,Engineer,0,3
10,Female,30,98000.0,72,Artist,1,4
11,Male,67,7000.0,14,Engineer,1,3
12,Female,35,93000.0,99,Healthcare,4,4
13,Female,58,80000.0,15,Executive,0,5
14,Female,24,91000.0,77,Lawyer,1,1
15,Male,37,19000.0,13,Doctor,0,1
16,Male,22,51000.0,79,Healthcare,1,2
17,Female,35,29000.0,35,Homemaker,9,5
18,Male,20,89000.0,66,Healthcare,1,6
19,Male,52,20000.0,29,Entertainment,1,4
20,Female,35,62000.0,98,Artist,0,1
21,Male,35,96000.0,35,Homemaker,12,1
22,Male,25,4000.0,73,Healthcare,3,4
23,Female,46,42000.0,5,Artist,13,2
24,Male,31,71000.0,73,Artist,5,2
25,Female,54,67000.0,14,Executive,1,3
26,Male,29,52000.0,82,Artist,1,3
27,Female,45,68000.0,32,Healthcare,9,8
28,Male,35,78000.0,61,Artist,1,3
29,Female,40,18000.0,31,Artist,0,1
30,Female,23,20000.0,87,Artist,5,4
31,Male,60,39000.0,4,Artist,0,3
32,Female,21,34000.0,73,Doctor,1,2
33,Male,53,59000.0,4,Healthcare,1,3
34,Male,18,62000.0,92,Homemaker,9,7
35,Female,49,91000.0,14,Lawyer,1,2
36,Female,21,95000.0,81,Healthcare,3,4
37,Female,42,14000.0,17,Doctor,5,1
38,Female,30,62000.0,73,Healthcare,1,5
39,Female,36,9000.0,26,Artist,8,2
40,Female,20,69000.0,75,Artist,8,2
41,Female,65,25000.0,35,Artist,4,1
42,Male,24,85000.0,92,Healthcare,0,2
43,Male,48,22000.0,36,Artist,14,3
44,Female,31,33000.0,61,Artist,1,2
45,Female,49,72000.0,28,Engineer,8,1
46,Female,24,3000.0,65,Lawyer,4,2
47,Female,50,52000.0,55,Artist,0,4
48,Female,27,71000.0,47,Healthcare,12,1
49,Female,29,78000.0,42,Healthcare,0,4
50,Female,31,25000.0,42,Engineer,1,1
51,Female,49,88000.0,52,Artist,1,2
52,Male,33,97000.0,60,Artist,1,2
53,Female,31,74000.0,54,Artist,1,1
54,Male,59,68000.0,60,Entertainment,0,2
55,Female,50,18000.0,45,Marketing,1,1
56,Male,47,95000.0,41,Artist,14,2
57,Female,51,71000.0,50,Healthcare,9,4
58,Male,69,8000.0,46,Doctor,8,2
59,Female,27,57000.0,51,Artist,1,3
60,Male,53,89000.0,46,Lawyer,1,6
61,Male,70,84000.0,56,Artist,0,2
62,Male,19,50000.0,55,Artist,9,2
63,Female,67,50000.0,52,Lawyer,0,3
64,Female,54,48000.0,59,Lawyer,1,2
65,Male,63,63000.0,51,Lawyer,7,2
66,Male,18,9000.0,59,Entertainment,0,2
67,Female,43,3000.0,50,Doctor,0,2
68,Female,68,82000.0,48,Artist,8,4
69,Male,19,81000.0,59,Artist,0,4
70,Female,32,97000.0,47,Homemaker,2,2
71,Male,70,91000.0,55,Healthcare,8,2
72,Female,47,9000.0,42,Entertainment,8,2
73,Female,60,44000.0,49,Artist,0,5
74,Female,60,10000.0,56,Healthcare,8,4
75,Male,59,89000.0,47,Artist,0,4
76,Male,26,49000.0,54,Homemaker,0,3
77,Female,45,67000.0,53,Doctor,0,2
78,Male,40,99000.0,48,Artist,4,3
79,Female,23,97000.0,52,Engineer,2,2
81,Male,57,52000.0,51,Healthcare,0,4
82,Male,38,61000.0,55,Healthcare,6,3
83,Male,67,120000.0,41,Artist,8,1
84,Female,46,34000.0,44,Entertainment,8,4
85,Female,21,24000.0,57,Marketing,1,3
86,Male,48,31000.0,46,Healthcare,7,5
87,Female,55,11000.0,58,Artist,0,3
88,Female,22,55000.0,55,Artist,5,2
89,Female,34,76000.0,60,Entertainment,7,3
90,Female,50,56000.0,46,Doctor,0,2
91,Female,68,46000.0,55,Entertainment,0,3
92,Male,18,36000.0,41,Artist,1,4
93,Male,48,88000.0,49,Artist,1,2
94,Female,40,31000.0,40,Entertainment,1,2
95,Female,32,24000.0,42,Artist,0,1
96,Male,24,80000.0,52,Artist,10,1
97,Female,47,2000.0,47,Artist,0,1
98,Female,27,67000.0,50,Artist,0,2
99,Male,48,58000.0,42,Doctor,1,2
100,Male,20,80000.0,49,Engineer,3,3
